owner,name,total_prs
mermaid-js,mermaid,1823
sindresorhus,awesome,1848
caddyserver,caddy,1924
996icu,996.ICU,1930
moment,moment,1971
alacritty,alacritty,1978
vuejs,vue,2135
tailwindlabs,tailwindcss,2162
kamranahmedse,developer-roadmap,2225
psf,requests,2299
pallets,flask,2362
reduxjs,redux,2401
golang,go,2588
awesome-selfhosted,awesome-selfhosted,2698
ripienaar,free-for-dev,2741
scrapy,scrapy,2795
public-apis,public-apis,2810
remix-run,react-router,2810
jquery,jquery,2826
TheAlgorithms,Java,3055
tauri-apps,tauri,3249
sveltejs,svelte,3281
Eugeny,tabby,3455
microsoft,terminal,3493
nuxt,nuxt,3547
tensorflow,models,3562
