,tamanho,tempo,descricao,interacoes,reviews,state
149,5,10921.0,2558,1,3,MERGED
150,1,3628.0,1963,1,1,MERGED
151,2,206245.0,2747,4,1,MERGED
152,1,27586.0,2124,0,1,MERGED
153,1,242919.0,2253,8,2,MERGED
154,25,39977.0,0,0,1,MERGED
155,1,104720.0,2147,3,1,MERGED
156,1,24700.0,1768,1,4,MERGED
157,3,64043.0,2149,3,2,MERGED
158,1,7257.0,1978,0,1,MERGED
159,1,3791.0,1936,0,1,MERGED
160,52,2309832.0,2095,6,2,CLOSED
161,1,156251.0,2189,1,3,MERGED
162,1,24320.0,2090,0,1,MERGED
163,1,433178.0,2421,3,1,MERGED
164,1,249969.0,1708,2,2,MERGED
165,2,197287.0,2494,1,3,CLOSED
166,1,23424.0,2041,0,1,MERGED
167,1,49081.0,2017,3,3,MERGED
168,1,48299.0,2926,1,1,MERGED
169,1,29970.0,2203,1,2,MERGED
170,1,238415.0,2176,7,5,MERGED
171,1,313845.0,2338,13,7,MERGED
172,3,356090.0,2316,10,2,MERGED
173,2,254949.0,2509,3,1,MERGED
174,6,18961757.0,1405,8,1,CLOSED
175,1,423644.0,2181,2,3,MERGED
176,1,347479.0,1275,4,4,MERGED
177,1,495988.0,1912,5,15,MERGED
178,1,113454.0,2137,1,3,MERGED
179,1,555777.0,1983,14,5,MERGED
180,1,217760.0,1701,2,1,MERGED
181,1,238324.0,3438,8,6,MERGED
182,3,40139.0,1976,0,1,MERGED
183,22,452694.0,2238,5,2,MERGED
184,1,739386.0,1628,3,14,MERGED
185,1,75092.0,1235,1,4,MERGED
186,1,73109.0,2865,7,4,MERGED
187,1,5585.0,1994,2,1,CLOSED
188,1,57695.0,1764,2,1,MERGED
189,1,28097.0,2468,0,7,MERGED
190,1,16725.0,2403,0,1,MERGED
191,1,228091.0,2819,4,10,MERGED
192,1,280319.0,2227,4,8,MERGED
193,1,64013.0,2230,0,1,MERGED
194,1,9150.0,1986,1,1,MERGED
195,1,623573.0,2014,5,1,MERGED
196,2,18511551.0,1477,12,10,CLOSED
197,1,4627281.0,4910,1,1,CLOSED
198,1,79245.0,2025,2,2,MERGED
199,1,78663.0,2170,1,2,MERGED
200,1,587784.0,1124,0,7,MERGED
201,1,63170.0,1650,1,1,MERGED
202,1,20981.0,2123,0,2,MERGED
203,1,5263.0,2638,0,1,MERGED
204,26,78126.0,2943,7,6,MERGED
205,1,23398.0,2089,0,1,MERGED
206,1,14715.0,2172,0,1,MERGED
207,1,8341.0,2393,0,1,MERGED
208,1,8418.0,2319,0,1,MERGED
209,1,3934.0,168,0,1,MERGED
210,1,1898771.0,1912,9,3,MERGED
211,1,18786.0,3133,1,1,MERGED
212,1,44969.0,1865,0,3,CLOSED
213,1,51258.0,2061,0,1,MERGED
214,1,47269.0,2017,0,1,MERGED
215,1,18851.0,1786,1,1,MERGED
216,1,78758.0,1983,2,1,MERGED
217,1,44258.0,2164,2,2,MERGED
218,1,7842.0,2276,2,3,MERGED
219,1,324462.0,2636,9,6,MERGED
220,1,3956.0,1950,1,2,MERGED
221,1,710489.0,2118,8,10,MERGED
222,1,13055.0,967,2,2,MERGED
223,1,571954.0,2371,6,12,MERGED
224,2,1994154.0,2536,9,4,MERGED
225,6,240821.0,1956,3,1,MERGED
226,1,4113.0,1799,4,1,MERGED
227,1,84379.0,2181,2,1,MERGED
228,1,94833.0,2028,0,1,MERGED
229,1,165400.0,1773,2,1,MERGED
230,1,481250.0,2391,2,4,MERGED
231,2,415681.0,149,8,2,MERGED
232,1,1739210.0,2480,15,4,CLOSED
233,1,3996.0,1964,0,1,MERGED
234,2,8874.0,1894,3,10,MERGED
235,2,6035672.0,2063,9,7,MERGED
236,3,853116.0,2290,9,4,MERGED
237,1,187315.0,1168,1,5,MERGED
238,2,21106.0,104,2,1,MERGED
239,1,282940.0,2117,1,1,MERGED
240,1,651164.0,2343,8,2,MERGED
241,1,10355.0,1974,0,1,MERGED
242,1,98187.0,2101,5,1,MERGED
243,2,56416.0,2050,1,1,MERGED
244,1,498707.0,2135,6,1,MERGED
245,1,4926.0,2392,1,2,MERGED
246,0,252540.0,1947,0,3,CLOSED
247,1,575559.0,1961,4,8,MERGED
248,1,928816.0,2130,1,6,MERGED
249,1,11761.0,2056,0,1,MERGED
250,1,99696.0,403,1,2,MERGED
251,1,8923.0,1938,0,1,MERGED
252,1,6044672.0,2356,17,3,CLOSED
253,1,59339.0,2030,3,2,MERGED
254,1,31986.0,2058,0,3,CLOSED
255,1,234179.0,2167,1,2,MERGED
256,1,54931.0,2216,0,1,MERGED
257,1,103773.0,2041,0,3,MERGED
258,1,186237.0,2108,5,3,MERGED
259,1,4172.0,1912,0,1,MERGED
260,4,11369.0,1684,2,1,CLOSED
261,1,217933.0,2629,1,7,MERGED
262,1,4566.0,1970,0,1,MERGED
263,1,80198.0,1968,2,3,MERGED
264,1,4398.0,1951,0,1,MERGED
265,4,23796.0,1958,3,1,MERGED
266,1,171128.0,2587,7,4,MERGED
267,1,34987.0,2022,6,1,MERGED
268,1,28020.0,2017,0,1,MERGED
269,1,20999.0,2084,0,6,MERGED
270,1,4549.0,2014,0,1,MERGED
271,1,36656.0,1300,2,1,MERGED
272,1,351447.0,2258,2,2,MERGED
273,1,6072.0,2802,0,2,MERGED
274,24,342494.0,2383,1,3,MERGED
275,1,84571.0,1912,4,1,MERGED
276,2,8269917.0,847,6,3,CLOSED
277,1,302863.0,2263,2,3,MERGED
278,1,67275.0,2410,0,1,MERGED
279,1,64996.0,2285,0,1,MERGED
280,1,12741.0,4799,0,1,CLOSED
281,1,69662.0,2201,1,3,MERGED
282,1,57595.0,2065,1,3,MERGED
283,1,12571.0,1953,0,1,MERGED
284,1,1069551.0,2005,3,3,MERGED
285,1,24921.0,2181,1,1,MERGED
286,1,13790.0,2015,0,1,MERGED
287,1,211948.0,2389,6,3,MERGED
288,1,265862.0,2055,2,7,CLOSED
289,23,5816475.0,1966,9,3,MERGED
290,1,978320.0,2935,5,1,MERGED
291,1,65765.0,2116,0,1,MERGED
292,1,1129848.0,2124,4,10,MERGED
293,4,303250.0,1913,7,2,MERGED
294,1,9982.0,2196,3,1,MERGED
295,1,10945.0,2088,1,1,MERGED
296,1,1935015.0,2009,11,6,MERGED
297,1,137261.0,2460,2,1,MERGED
298,1,283983.0,3213,0,1,MERGED
299,1,68707.0,1909,3,1,CLOSED
300,1,54811.0,1948,2,1,MERGED
301,1,30113.0,2251,0,1,MERGED
302,4,4072213.0,552,12,7,MERGED
303,1,4511803.0,2318,10,3,CLOSED
304,1,1229662.0,2571,0,1,MERGED
305,1,167456.0,2543,1,3,MERGED
306,1,682748.0,2051,1,1,MERGED
307,1,4485790.0,2003,16,5,CLOSED
308,1,1604162.0,2085,12,4,MERGED
309,2,104124.0,2272,8,9,MERGED
310,2,8804895.0,1723,13,6,MERGED
311,1,376134.0,2353,1,3,MERGED
312,1,195900.0,2112,0,1,MERGED
313,1,4481775.0,3473,16,8,MERGED
314,1,294684.0,2213,1,7,MERGED
315,1,79356.0,2142,5,4,MERGED
316,1,325982.0,1880,5,7,MERGED
317,1,8765.0,1971,0,1,MERGED
318,1,1957836.0,2017,7,1,CLOSED
319,1,54667.0,2081,0,1,MERGED
320,1,21109.0,1983,0,1,MERGED
321,1,116915.0,2051,1,1,MERGED
322,1,3556488.0,2771,6,1,MERGED
323,1,144768.0,2513,0,1,MERGED
324,2,101075.0,2101,7,5,MERGED
325,1,678791.0,2380,9,7,MERGED
326,1,258929.0,2018,4,1,MERGED
327,1,3489969.0,2317,11,1,MERGED
328,1,113283.0,2006,2,1,MERGED
329,1,14306765.0,4946,0,1,CLOSED
330,11,171971.0,1973,7,4,MERGED
331,2,645373.0,2257,4,3,MERGED
332,1,2457082.0,2176,2,2,MERGED
333,5,2015643.0,2022,12,13,MERGED
334,1,727431.0,2302,12,2,MERGED
335,1,117447.0,1960,0,1,MERGED
336,1,543170.0,8010,1,1,CLOSED
337,1,2152965.0,2163,0,1,MERGED
338,1,1440020.0,2006,1,1,MERGED
339,1,467481.0,1966,1,1,MERGED
340,1,1285568.0,2326,9,1,MERGED
341,1,13166905.0,2044,2,5,CLOSED
342,1,13170634.0,2041,5,3,CLOSED
343,1,25745.0,2304,0,1,MERGED
344,1,583688.0,2003,2,1,MERGED
345,1,81956.0,2090,1,1,MERGED
346,1,255929.0,2278,3,1,MERGED
347,1,8905933.0,2438,8,1,MERGED
348,1,839034.0,1986,0,1,MERGED
349,1,55019.0,1086,3,2,MERGED
350,1,45095.0,2090,4,1,MERGED
351,1,210489.0,0,1,1,MERGED
352,1,11631716.0,2169,0,2,CLOSED
353,1,4611990.0,2403,8,1,MERGED
354,1,264251.0,2068,1,1,MERGED
355,1,5635422.0,2496,2,1,MERGED
356,1,5505741.0,2579,4,2,MERGED
357,1,124767.0,1990,8,2,MERGED
358,1,599076.0,911,4,1,MERGED
359,3,1918729.0,93,3,4,MERGED
360,4,1518545.0,2361,1,7,CLOSED
361,1,8210.0,2173,0,1,MERGED
362,1,238850.0,2069,3,1,MERGED
363,1,76338.0,1952,4,1,MERGED
364,1,43366.0,2121,7,3,MERGED
365,1,6757.0,2051,1,1,MERGED
366,1,5170984.0,1429,3,1,MERGED
367,1,50933.0,2104,1,1,MERGED
368,1,63775.0,1939,1,1,MERGED
369,1,465697.0,2174,1,1,MERGED
370,1,1793258.0,1456,3,5,MERGED
371,1,247910.0,2057,0,1,MERGED
372,1,156830.0,2144,0,1,MERGED
373,1,102926.0,2133,2,1,MERGED
374,1,89233.0,1987,5,1,MERGED
375,1,3171030.0,1980,5,1,CLOSED
376,1,627579.0,2249,4,1,MERGED
377,36,9238892.0,4118,7,4,CLOSED
378,1,878885.0,2052,0,1,MERGED
379,6,1426372.0,2097,4,10,MERGED
380,2,2691223.0,2116,13,3,MERGED
381,5,6646715.0,3715,17,4,MERGED
382,1,366280.0,2320,2,2,MERGED
383,1,86079.0,255,5,1,MERGED
384,1,293123.0,1984,1,1,MERGED
385,3,1248919.0,563,6,3,MERGED
386,1,181449.0,2195,6,2,MERGED
387,1,53049.0,2246,1,1,MERGED
388,1,47260.0,115,3,2,MERGED
389,1,2245461.0,1774,0,1,MERGED
390,4,3853757.0,28,9,1,MERGED
391,4,7722871.0,261,12,17,CLOSED
392,1,407924.0,61,0,1,MERGED
393,1,38647.0,1970,4,1,MERGED
394,1,13408.0,2273,4,1,MERGED
395,1,66475.0,929,6,1,MERGED
396,1,26263.0,2068,8,1,MERGED
397,11,138236.0,2000,0,2,MERGED
398,1,103022.0,104,3,1,MERGED
399,2,42384.0,1602,2,1,MERGED
400,1,1599247.0,2052,4,1,MERGED
401,1,859180.0,2050,2,1,MERGED
402,1,843175.0,1978,2,1,MERGED
